RiskPerformance,ExternalRiskEstimate,MSinceOldestTradeOpen,MSinceMostRecentTradeOpen,AverageMInFile,NumSatisfactoryTrades,NumTrades90Ever2DerogPubRec,PercentTradesNeverDelq,MSinceMostRecentDelq,MaxDelq2PublicRecLast12M,MaxDelqEver,NumTotalTrades,NumTradesOpeninLast12M,PercentInstallTrades,MSinceMostRecentInqexcl7days,NumInqLast6Mexcl7days,NetFractionRevolvingBurden,NetFractionInstallBurden,NumRevolvingTradesWBalance,NumInstallTradesWBalance,NumBank2NatlTradesWHighUtilization,PercentTradesWBalance,ConditionNotMet,MonthsTrading,TotalNetFractionBurden,PercentSatisTrades
Bad,65,146.0,7,58,29,1,97,13.0,6,6,33,1,39,,5,7,88,1,2,0,33,True,139.0,95,87.87878787878788
Bad,65,56.0,1,35,37,0,100,,7,8,39,3,13,-0.48519611654772077,0,65,93,15,2,8,62,True,55.0,158,94.87179487179488
Bad,81,158.0,13,71,34,0,97,42.0,6,6,37,0,42,-0.2725788332366598,1,9,86,3,5,0,47,False,145.0,95,91.89189189189189
Bad,59,187.0,2,62,17,0,80,50.0,6,5,20,4,20,3.767149549673498,0,69,58,9,1,3,85,False,185.0,127,85.0
Bad,73,85.0,6,38,10,0,100,,7,8,10,2,50,-0.48519611654772077,1,81,58,1,1,0,50,True,79.0,139,100.0
Bad,75,70.0,1,38,8,0,100,,7,8,9,1,78,-0.48519611654772077,3,17,58,2,1,1,100,True,69.0,75,88.88888888888889
Good,73,135.0,3,93,6,1,75,79.0,6,4,12,1,67,-0.2725788332366598,3,0,118,0,2,1,67,False,132.0,118,50.0
Bad,66,188.0,3,80,17,0,88,4.0,4,6,17,3,82,-0.2725788332366598,3,6,95,1,7,1,89,False,185.0,101,100.0
Bad,66,187.0,4,38,18,0,95,62.0,6,5,22,5,36,-0.48519611654772077,4,46,79,6,4,1,92,False,183.0,125,81.81818181818181
Good,80,255.0,3,55,23,0,100,,7,8,23,3,17,-0.059961549925598906,5,2,58,2,1,0,20,True,252.0,60,100.0
Good,77,161.0,2,69,20,0,96,25.0,6,6,23,3,4,2.916680416429254,0,14,58,4,2,1,38,False,159.0,72,86.95652173913044
Good,61,308.0,3,67,58,1,98,10.0,0,2,71,8,21,0.36527301669652296,1,53,41,3,3,0,64,False,305.0,94,81.69014084507042
Bad,73,163.0,13,85,27,0,97,52.0,6,6,29,0,41,-0.48519611654772077,0,34,39,4,2,2,60,False,150.0,73,93.10344827586206
Bad,71,218.0,22,75,22,0,96,27.0,6,5,24,0,39,-0.2725788332366598,2,3,23,4,1,1,56,False,196.0,26,91.66666666666667
Good,87,304.0,7,91,23,0,100,,7,8,24,1,63,-0.48519611654772077,0,8,73,5,2,0,78,True,297.0,81,95.83333333333333
Good,90,240.0,1,96,20,0,100,,7,8,22,1,32,-0.48519611654772077,0,0,77,2,3,0,36,True,239.0,77,90.9090909090909
Good,83,183.0,14,73,17,0,100,,7,8,17,0,35,2.4914458498071324,0,20,58,3,1,0,44,True,169.0,78,100.0
Good,88,166.0,3,92,10,0,100,,7,8,10,1,40,-0.48519611654772077,2,0,96,0,1,0,25,True,163.0,96,100.0
Good,80,173.0,8,62,17,0,100,,7,8,18,2,67,-0.48519611654772077,1,21,93,3,3,0,100,True,165.0,114,94.44444444444444
Good,73,354.0,13,80,25,0,100,,7,8,25,0,8,2.704063133118193,0,36,58,10,1,2,61,True,341.0,94,100.0
Bad,69,71.0,9,38,11,1,100,,7,8,12,1,55,-0.48519611654772077,0,39,69,2,3,1,63,True,62.0,108,91.66666666666667
Good,71,178.0,2,68,47,1,98,8.0,4,6,62,2,6,-0.48519611654772077,5,7,58,5,1,0,40,False,176.0,65,75.80645161290323
Good,84,131.0,14,84,22,0,100,,7,8,22,0,36,3.5545322663624375,0,9,37,2,4,0,100,True,117.0,46,100.0
Bad,81,172.0,8,58,23,0,100,,7,8,23,1,35,-0.48519611654772077,0,17,58,5,2,0,57,True,164.0,75,100.0
Bad,64,91.0,3,38,40,0,100,,7,8,40,3,28,-0.48519611654772077,13,21,61,6,4,1,42,True,88.0,82,100.0
Good,85,246.0,56,166,6,0,100,,7,8,6,0,17,-0.48519611654772077,2,0,58,1,2,1,33,True,190.0,58,100.0
Bad,68,116.0,1,51,20,0,100,,7,8,21,2,24,-0.48519611654772077,2,50,58,6,1,2,64,True,115.0,108,95.23809523809524
Bad,56,176.0,4,63,34,0,86,5.0,4,6,35,4,60,-0.48519611654772077,7,48,90,5,3,3,62,False,172.0,138,97.14285714285714
Bad,66,177.0,4,60,37,0,97,,6,7,37,6,65,-0.48519611654772077,3,72,66,4,5,3,82,True,173.0,138,100.0
Bad,74,42.0,10,27,8,0,100,,7,8,8,2,25,4.405001399606681,0,41,76,2,2,1,57,True,32.0,117,100.0
Bad,75,255.0,5,102,30,0,100,,7,8,32,2,13,-0.48519611654772077,1,39,95,7,2,4,53,True,250.0,134,93.75
Bad,62,159.0,6,67,14,0,86,3.0,4,6,18,3,36,-0.48519611654772077,2,71,93,2,3,1,83,False,153.0,164,77.77777777777777
Good,82,292.0,35,137,19,0,95,25.0,6,6,20,0,11,-0.48519611654772077,2,2,58,1,2,0,30,False,257.0,60,95.0
Bad,70,386.0,5,92,25,0,100,,7,8,25,3,56,-0.48519611654772077,4,67,89,4,4,2,89,True,381.0,156,100.0
Bad,74,168.0,2,85,23,0,96,13.0,6,6,24,3,17,-0.48519611654772077,0,40,95,7,2,0,64,False,166.0,135,95.83333333333333
Bad,64,127.0,7,66,20,5,70,6.0,4,2,23,1,52,-0.48519611654772077,0,0,79,1,4,1,86,False,120.0,79,86.95652173913044
Bad,70,333.0,1,49,13,2,100,,6,8,20,2,36,,3,8,96,1,3,0,50,True,332.0,104,65.0
Good,69,271.0,2,101,22,0,100,,7,8,23,1,17,-0.059961549925598906,4,32,35,9,2,3,69,True,269.0,67,95.65217391304348
Bad,89,474.0,49,184,8,0,100,,7,8,15,0,0,-0.48519611654772077,0,30,58,4,2,1,67,True,425.0,88,53.333333333333336
Good,68,276.0,2,59,27,1,100,,6,8,31,2,42,-0.48519611654772077,4,9,70,3,4,0,47,True,274.0,79,87.09677419354838
Good,75,260.0,5,101,9,1,58,28.0,6,4,12,2,33,-0.48519611654772077,1,12,99,2,2,0,44,False,255.0,111,75.0
Bad,64,152.0,3,80,31,0,94,3.0,4,6,42,2,22,2.06621128318501,0,18,58,6,1,1,50,False,149.0,76,73.80952380952381
Good,81,325.0,9,117,20,0,95,35.0,6,5,21,3,52,1.6409767165628886,0,3,31,2,2,0,63,False,316.0,34,95.23809523809524
Bad,66,210.0,5,74,31,1,97,13.0,6,6,34,3,67,-0.48519611654772077,1,30,90,3,2,0,56,False,205.0,120,91.17647058823529
Bad,84,210.0,3,68,16,0,100,,7,8,16,3,56,0.7905075833186448,0,2,58,2,5,0,73,True,207.0,60,100.0
Bad,75,382.0,40,123,13,0,92,24.0,6,6,13,0,8,-0.48519611654772077,0,31,58,4,2,1,67,False,342.0,89,100.0
Good,74,208.0,4,76,14,0,94,74.0,6,6,16,1,63,-0.48519611654772077,3,63,91,5,1,0,86,False,204.0,154,87.5
Good,84,170.0,4,67,16,0,100,,7,8,17,4,53,0.36527301669652296,2,1,68,1,4,0,56,True,166.0,69,94.11764705882354
Bad,63,62.0,6,31,8,0,100,,7,8,8,2,25,-0.48519611654772077,3,91,139,5,1,1,86,True,56.0,230,100.0
Bad,58,194.0,5,83,23,1,85,2.0,2,4,26,2,35,-0.48519611654772077,0,72,95,9,2,3,92,False,189.0,167,88.46153846153847
Bad,70,69.0,18,44,10,0,100,,7,8,10,0,20,-0.48519611654772077,4,70,53,3,1,2,57,True,51.0,123,100.0
Bad,73,250.0,6,67,42,0,100,,7,8,47,2,49,-0.48519611654772077,1,50,86,4,7,1,69,True,244.0,136,89.36170212765957
Good,83,228.0,2,95,46,0,100,,7,8,51,3,33,-0.2725788332366598,1,26,100,2,1,1,27,True,226.0,126,90.19607843137256
Bad,66,208.0,9,68,18,1,94,33.0,6,6,18,2,39,-0.48519611654772077,2,0,5,1,3,1,83,False,199.0,5,100.0
Good,76,163.0,5,80,44,0,100,,7,8,68,2,28,,1,14,57,8,3,2,58,True,158.0,71,64.70588235294117
Bad,57,181.0,4,69,28,0,84,5.0,4,5,32,4,31,-0.48519611654772077,2,78,83,3,3,2,78,False,177.0,161,87.5
Good,73,445.0,15,125,12,0,83,21.0,6,6,12,0,42,-0.48519611654772077,1,55,58,4,1,1,100,False,430.0,113,100.0
Good,80,163.0,1,65,27,0,97,41.0,6,6,29,1,45,1.8535939998739495,0,23,58,5,1,0,67,False,162.0,81,93.10344827586206
Bad,72,354.0,4,105,22,0,100,,7,8,24,5,29,-0.48519611654772077,0,89,77,7,3,5,92,True,350.0,166,91.66666666666667
Good,85,225.0,0,78,42,0,100,,7,8,45,3,38,-0.48519611654772077,1,6,92,3,2,0,31,True,225.0,98,93.33333333333333
Bad,79,222.0,6,94,24,0,100,,7,8,24,2,42,1.4283594332518275,0,82,48,2,4,1,88,True,216.0,130,100.0
Good,67,144.0,21,62,22,0,86,6.0,4,6,22,0,59,-0.2725788332366598,2,11,58,2,3,1,100,False,123.0,69,100.0
Bad,72,185.0,3,75,24,0,96,52.0,6,6,26,2,38,-0.48519611654772077,2,43,88,5,2,2,70,False,182.0,131,92.3076923076923
Bad,69,175.0,5,58,20,0,85,19.0,6,6,20,3,25,0.5778903000075839,1,10,73,4,3,0,64,False,170.0,83,100.0
Good,80,162.0,9,82,22,0,100,,7,8,24,1,58,-0.48519611654772077,0,79,45,2,2,1,80,True,153.0,124,91.66666666666667
Bad,59,30.0,2,12,2,1,100,,7,8,4,2,33,-0.48519611654772077,4,40,58,1,1,0,67,True,28.0,98,50.0
Bad,77,276.0,41,145,19,0,100,,7,8,19,0,21,,1,59,36,6,2,1,62,True,235.0,95,100.0
Bad,65,142.0,4,45,16,0,94,0.0,4,6,16,4,25,,3,19,59,4,3,1,70,True,138.0,78,100.0
Bad,70,151.0,2,79,38,0,95,24.0,6,6,39,1,21,-0.48519611654772077,1,29,84,14,3,2,81,False,149.0,113,97.43589743589743
Good,75,234.0,2,88,40,0,100,,7,8,41,2,32,-0.059961549925598906,1,10,53,5,4,0,45,True,232.0,63,97.5609756097561
Good,85,226.0,2,84,14,0,100,,7,8,27,1,13,-0.059961549925598906,1,6,58,6,2,0,75,True,224.0,64,51.851851851851855
Bad,55,117.0,12,49,16,0,95,1.0,4,6,20,0,15,-0.48519611654772077,2,42,58,6,1,3,58,False,105.0,100,80.0
Bad,75,175.0,1,74,22,1,96,44.0,6,3,25,2,36,-0.48519611654772077,3,64,58,2,3,1,50,False,174.0,122,88.0
Good,84,174.0,3,92,17,0,100,,7,8,18,1,53,-0.48519611654772077,10,6,58,2,4,0,86,True,171.0,64,94.44444444444444
Good,82,356.0,4,85,34,0,100,,7,8,34,3,21,-0.48519611654772077,1,2,58,5,1,0,35,True,352.0,60,100.0
Bad,64,56.0,14,35,2,1,100,,0,8,4,0,100,-0.48519611654772077,0,30,80,4,2,1,100,True,42.0,110,50.0
Bad,80,271.0,9,62,12,0,92,9.0,4,6,12,1,33,,0,29,50,1,2,0,60,True,262.0,79,100.0
Bad,56,166.0,2,55,28,2,78,1.0,4,2,32,3,28,-0.2725788332366598,1,43,85,13,4,4,81,False,164.0,128,87.5
Bad,70,127.0,25,57,23,0,96,13.0,6,6,24,0,13,-0.48519611654772077,0,51,58,9,2,1,67,False,102.0,109,95.83333333333333
Bad,54,225.0,0,79,44,2,75,3.0,3,2,63,6,25,-0.2725788332366598,5,18,77,10,4,0,80,False,225.0,95,69.84126984126983
Good,73,219.0,4,88,23,0,100,,7,8,24,3,46,-0.48519611654772077,1,45,88,6,2,1,89,True,215.0,133,95.83333333333333
Good,75,105.0,2,53,22,0,100,,7,8,25,5,56,-0.48519611654772077,1,31,21,5,3,1,80,True,103.0,52,88.0
Bad,68,199.0,2,90,28,0,97,54.0,6,6,29,3,34,-0.2725788332366598,1,60,42,4,2,2,67,False,197.0,102,96.55172413793103
Bad,79,190.0,3,53,27,0,100,,7,8,28,2,4,,0,55,58,2,2,1,50,True,187.0,113,96.42857142857143
Good,79,125.0,9,57,29,0,100,,7,8,33,1,45,,1,1,71,1,4,0,45,True,116.0,72,87.87878787878788
Good,84,138.0,3,69,13,0,100,,7,8,13,2,31,-0.48519611654772077,0,26,58,3,1,0,80,True,135.0,84,100.0
Bad,62,354.0,1,45,23,0,100,,7,8,29,9,21,-0.2725788332366598,5,48,94,10,3,2,65,True,353.0,142,79.3103448275862
Bad,63,97.0,9,44,9,6,71,58.0,6,2,17,4,29,-0.48519611654772077,4,69,58,1,1,1,50,False,88.0,127,52.94117647058823
Good,85,186.0,8,83,22,0,100,,7,8,22,2,18,3.9797668329845592,0,9,79,2,2,0,36,True,178.0,88,100.0
Good,79,192.0,10,69,18,0,100,,7,8,18,1,28,,1,24,78,5,2,0,78,True,182.0,102,100.0
Bad,75,241.0,5,68,37,0,100,,7,8,37,1,43,-0.48519611654772077,0,25,67,3,3,2,43,True,236.0,92,100.0
Good,65,340.0,0,95,21,1,85,65.0,6,5,26,3,81,-0.48519611654772077,0,36,59,2,6,1,89,False,340.0,95,80.76923076923077
Good,70,78.0,4,50,23,0,96,11.0,4,6,24,1,46,0.15265573338546204,2,48,76,2,5,0,78,False,74.0,124,95.83333333333333
Good,84,93.0,4,37,7,0,100,,7,8,7,4,29,,3,16,58,2,1,0,75,True,89.0,74,100.0
Good,81,302.0,23,145,9,0,90,53.0,6,5,10,0,30,3.9797668329845592,0,1,75,2,2,0,80,False,279.0,76,90.0
Good,88,294.0,5,84,15,0,100,,7,8,15,2,53,0.36527301669652296,1,2,82,2,2,0,50,True,289.0,84,100.0
Good,81,165.0,12,95,17,0,100,,7,8,18,0,50,-0.48519611654772077,0,21,29,2,2,1,80,True,153.0,50,94.44444444444444
Bad,63,207.0,11,74,45,0,100,,7,8,46,1,13,1.0031248666297057,0,85,20,10,2,5,57,True,196.0,105,97.82608695652173
Bad,72,165.0,3,69,19,0,84,9.0,4,6,25,3,52,-0.48519611654772077,3,0,95,0,3,0,50,False,162.0,95,76.0
Good,74,170.0,2,10,3,0,100,,7,8,24,3,25,-0.48519611654772077,3,2,58,2,1,0,75,True,168.0,60,12.5
Bad,62,58.0,3,18,4,0,100,,7,8,4,3,25,-0.059961549925598906,6,99,97,3,1,1,100,True,55.0,196,100.0
Bad,59,277.0,9,95,16,1,76,0.0,4,5,18,1,12,0.15265573338546204,1,25,80,6,1,1,54,False,268.0,105,88.88888888888889
Good,80,233.0,1,57,30,0,100,,7,8,31,6,16,-0.48519611654772077,1,9,70,3,2,1,42,True,232.0,79,96.7741935483871
Good,79,71.0,3,33,12,0,100,,7,8,12,3,25,1.8535939998739495,0,11,94,3,2,0,56,True,68.0,105,100.0
Good,71,178.0,12,103,28,0,90,18.0,6,5,31,0,28,-0.2725788332366598,1,56,58,7,1,1,89,False,166.0,114,90.3225806451613
Bad,70,55.0,0,20,6,0,100,,7,8,11,6,18,-0.48519611654772077,6,28,36,3,2,0,45,True,55.0,64,54.54545454545455
Bad,57,172.0,56,116,10,12,58,20.0,0,2,21,0,17,-0.48519611654772077,0,12,58,2,2,1,67,False,116.0,70,47.61904761904762
Good,71,114.0,11,80,12,0,92,13.0,6,6,12,1,33,-0.48519611654772077,0,42,84,3,2,1,71,False,103.0,126,100.0
Good,73,264.0,3,71,29,0,93,25.0,6,6,29,5,21,-0.48519611654772077,0,14,72,9,3,0,62,False,261.0,86,100.0
Bad,57,304.0,16,79,11,0,73,2.0,4,6,11,0,36,-0.48519611654772077,1,85,36,5,3,1,100,False,288.0,121,100.0
Bad,70,252.0,3,73,20,2,88,31.0,6,3,24,4,67,-0.059961549925598906,1,16,93,3,2,0,63,False,249.0,109,83.33333333333333
Bad,72,196.13915857605178,2,16,4,0,100,,7,8,6,3,50,,0,29,100,2,2,0,67,True,194.13915857605178,129,66.66666666666667
Good,78,292.0,11,79,16,0,100,,7,8,16,1,44,-0.48519611654772077,2,33,85,2,3,1,71,True,281.0,118,100.0
Good,86,276.0,7,77,18,0,100,,7,8,18,2,28,-0.48519611654772077,0,7,88,4,2,0,60,True,269.0,95,100.0
Bad,84,325.0,2,107,13,0,100,,7,8,14,2,29,-0.2725788332366598,1,19,98,4,3,0,70,True,323.0,117,92.85714285714286
Good,84,315.0,7,150,20,0,95,42.0,6,6,20,1,25,-0.48519611654772077,0,13,89,5,2,0,64,False,308.0,102,100.0
Bad,74,139.0,1,61,27,0,93,29.0,6,6,28,4,25,-0.48519611654772077,1,19,21,2,3,1,42,False,138.0,40,96.42857142857143
Bad,64,181.0,4,48,26,1,93,6.0,4,2,27,4,59,-0.48519611654772077,1,30,37,4,4,2,69,False,177.0,67,96.29629629629629
Bad,64,50.0,7,26,14,2,100,,6,8,15,3,43,1.2157421499407666,0,64,77,3,3,1,55,True,43.0,141,93.33333333333333
Bad,54,336.0,13,93,17,1,89,4.0,2,4,18,0,33,-0.48519611654772077,4,65,53,4,2,2,75,False,323.0,118,94.44444444444444
Good,79,196.0,3,50,13,0,100,,7,8,13,3,46,-0.48519611654772077,0,48,58,2,1,2,60,True,193.0,106,100.0
Good,82,247.0,1,90,25,0,100,,7,8,29,2,24,,0,29,58,6,1,1,54,True,246.0,87,86.20689655172414
Good,70,298.0,5,71,24,0,96,81.0,6,6,47,6,13,-0.48519611654772077,2,29,58,3,1,1,36,False,293.0,87,51.06382978723404
Good,64,60.0,11,26,6,0,86,11.0,3,5,7,1,43,-0.48519611654772077,0,95,58,2,1,0,75,False,49.0,153,85.71428571428571
Bad,54,117.0,7,63,18,1,77,3.0,4,5,23,1,41,-0.48519611654772077,0,26,93,3,2,1,50,False,110.0,119,78.26086956521739
Good,67,74.0,2,35,12,0,92,10.0,4,6,13,3,31,,7,23,58,5,1,0,75,True,72.0,81,92.3076923076923
Good,61,150.0,9,36,5,0,83,11.0,4,6,6,2,33,-0.48519611654772077,0,69,74,3,2,1,100,False,141.0,143,83.33333333333333
Bad,79,340.0,4,80,52,0,96,10.0,4,6,77,2,13,0.7905075833186448,0,2,58,2,1,0,12,False,336.0,60,67.53246753246754
Bad,61,215.0,14,120,16,0,89,4.0,4,6,18,0,39,-0.48519611654772077,2,45,58,5,1,2,67,False,201.0,103,88.88888888888889
Good,87,150.0,27,77,27,0,100,,7,8,27,0,30,-0.059961549925598906,1,4,3,4,2,0,55,True,123.0,7,100.0
Good,75,234.0,0,73,34,0,97,30.0,6,5,45,6,11,-0.48519611654772077,2,11,88,6,2,1,33,False,234.0,99,75.55555555555556
Bad,64,192.0,1,76,22,0,96,16.0,6,6,25,2,32,-0.48519611654772077,0,67,64,6,4,4,77,False,191.0,131,88.0
Bad,65,208.0,3,56,14,1,88,57.0,0,5,43,4,13,,4,14,58,5,1,3,55,True,205.0,72,32.55813953488372
Bad,76,66.0,2,31,5,0,100,,7,8,7,3,0,-0.48519611654772077,1,47,58,3,2,2,100,True,64.0,105,71.42857142857143
Bad,79,157.0,1,51,20,0,100,,7,8,38,4,14,-0.2725788332366598,1,11,58,3,2,2,27,True,156.0,69,52.63157894736842
Bad,55,127.0,9,60,28,0,80,7.0,3,5,30,2,47,-0.48519611654772077,0,69,142,7,9,1,89,False,118.0,211,93.33333333333333
Good,79,196.13915857605178,7,104,20,0,95,27.0,6,6,20,2,55,,0,27,49,5,3,0,100,True,189.13915857605178,76,100.0
Bad,60,264.0,22,53,10,2,100,,0,8,12,0,40,-0.48519611654772077,1,92,63,4,2,2,86,True,242.0,155,83.33333333333333
Bad,55,101.0,4,29,12,0,92,2.0,4,6,13,3,38,-0.48519611654772077,0,43,83,5,3,2,100,False,97.0,126,92.3076923076923
Bad,80,180.0,23,118,15,0,100,,7,8,27,0,7,1.6409767165628886,0,42,58,2,2,1,33,True,157.0,100,55.55555555555556
Good,72,413.0,10,70,31,0,97,54.0,6,6,31,2,74,-0.48519611654772077,1,25,58,2,1,1,43,False,403.0,83,100.0
Good,68,265.0,4,93,31,1,91,6.0,4,6,34,1,62,-0.48519611654772077,0,0,69,1,9,0,85,False,261.0,69,91.17647058823529
Bad,60,343.0,5,58,5,1,67,1.0,4,5,10,2,17,0.7905075833186448,0,5,93,4,1,0,83,False,338.0,98,50.0
Bad,69,163.0,7,69,28,0,100,,7,8,29,3,41,-0.2725788332366598,3,52,79,8,3,2,75,True,156.0,131,96.55172413793103
Bad,72,252.0,1,47,14,0,94,39.0,6,6,16,6,31,-0.48519611654772077,2,49,71,3,3,0,78,False,251.0,120,87.5
Good,84,411.0,23,91,10,0,100,,6,8,11,0,36,-0.48519611654772077,0,17,58,2,2,0,100,True,388.0,75,90.9090909090909
Good,82,271.0,2,79,25,0,100,,7,8,33,3,31,-0.059961549925598906,1,2,74,4,2,0,50,True,269.0,76,75.75757575757575
Bad,63,20.0,3,10,15,0,100,,7,8,15,11,13,-0.48519611654772077,6,18,91,4,2,1,40,True,17.0,109,100.0
Bad,57,119.0,7,7,3,0,100,,7,8,7,3,0,,6,84,58,3,2,1,100,True,112.0,142,42.857142857142854
Good,78,126.0,7,58,41,0,100,,7,8,45,2,51,-0.48519611654772077,2,14,75,3,5,0,50,True,119.0,89,91.11111111111111
Good,91,455.0,10,202,11,0,100,,7,8,11,1,18,,1,5,58,1,1,0,33,True,445.0,63,100.0
Good,71,207.0,14,147,26,0,89,8.0,4,6,28,0,36,,0,1,58,3,2,0,64,True,193.0,59,92.85714285714286
Good,70,132.0,2,64,20,1,92,6.0,4,6,26,4,4,-0.48519611654772077,1,1,58,1,2,0,13,False,130.0,59,76.92307692307692
Bad,60,92.0,16,58,19,3,78,5.0,3,2,23,0,57,,2,51,58,2,1,0,60,True,76.0,109,82.6086956521739
Good,78,108.0,2,43,17,0,100,,7,8,18,4,39,,2,15,50,4,3,1,78,True,106.0,65,94.44444444444444
Good,84,199.0,14,114,22,0,100,,6,7,22,0,36,1.0031248666297057,0,11,33,6,2,0,57,True,185.0,44,100.0
Good,66,190.0,3,94,33,1,97,13.0,6,6,33,1,55,-0.48519611654772077,4,23,79,2,4,0,75,False,187.0,102,100.0
Good,86,249.0,5,87,30,0,100,,7,8,32,1,25,0.15265573338546204,5,6,95,1,1,0,67,True,244.0,101,93.75
Bad,65,216.0,6,80,19,0,70,7.0,4,5,20,1,30,-0.48519611654772077,0,21,58,2,1,0,38,False,210.0,79,95.0
Bad,75,206.0,4,65,15,2,88,78.0,6,2,17,1,53,,1,0,58,0,1,0,33,True,202.0,58,88.23529411764706
Good,69,252.0,3,90,44,0,91,7.0,4,5,46,4,20,0.36527301669652296,1,23,100,11,2,1,78,False,249.0,123,95.65217391304348
Bad,61,96.0,3,28,9,1,80,8.0,4,2,16,3,40,,0,26,99,3,2,1,63,True,93.0,125,56.25
Good,80,93.0,2,34,13,0,100,,7,8,15,3,40,1.0031248666297057,0,6,84,3,3,0,67,True,91.0,90,86.66666666666667
Good,62,190.0,4,80,29,0,74,13.0,6,5,31,3,45,-0.48519611654772077,0,60,82,6,8,1,100,False,186.0,142,93.54838709677419
Good,60,143.0,1,78,34,0,86,24.0,6,5,37,1,30,-0.48519611654772077,0,75,58,5,1,3,67,False,142.0,133,91.89189189189189
Bad,64,201.0,3,78,58,0,95,59.0,6,6,58,6,21,-0.48519611654772077,3,35,99,9,4,3,39,False,198.0,134,100.0
Bad,62,87.0,9,42,10,1,83,5.0,3,5,12,2,33,-0.2725788332366598,1,14,90,4,1,1,63,False,78.0,104,83.33333333333333
Bad,62,172.0,4,71,29,0,86,2.0,4,6,29,2,28,,1,32,50,2,4,2,50,True,168.0,82,100.0
Bad,69,165.0,4,62,12,0,92,75.0,6,6,12,2,58,-0.48519611654772077,1,97,71,4,1,3,100,False,161.0,168,100.0
Bad,85,358.0,36,157,4,0,80,55.0,6,5,5,0,0,-0.48519611654772077,0,0,58,0,2,0,0,False,322.0,58,80.0
Good,81,118.0,2,60,6,0,100,,7,8,7,1,14,-0.48519611654772077,3,6,58,2,2,1,50,True,116.0,64,85.71428571428571
Good,85,158.0,16,70,8,0,100,,7,8,8,0,25,0.7905075833186448,0,20,80,3,2,0,83,True,142.0,100,100.0
Good,86,191.0,7,82,27,0,100,,7,8,28,1,22,1.0031248666297057,0,0,58,0,1,0,8,True,184.0,58,96.42857142857143
Good,76,185.0,4,69,32,0,97,25.0,6,6,34,3,13,,1,16,54,4,3,0,41,True,181.0,70,94.11764705882354
Good,66,245.0,44,131,12,0,79,1.0,4,5,14,0,36,-0.48519611654772077,1,46,58,3,1,0,100,False,201.0,104,85.71428571428571
Good,76,158.0,2,73,25,0,100,,7,8,27,2,19,-0.48519611654772077,2,23,58,6,3,1,64,True,156.0,81,92.5925925925926
Bad,76,136.0,1,57,20,0,100,,7,8,21,2,33,-0.48519611654772077,0,44,58,5,1,1,60,True,135.0,102,95.23809523809524
Bad,65,287.0,2,82,22,0,100,,7,8,23,3,35,-0.48519611654772077,1,98,96,10,3,4,100,True,285.0,194,95.65217391304348
Bad,59,291.0,6,128,27,4,90,3.0,2,3,31,2,23,-0.2725788332366598,1,42,59,2,3,1,67,False,285.0,101,87.09677419354838
Bad,67,196.13915857605178,7,68,34,0,100,,7,8,39,3,13,,5,90,40,13,4,9,89,True,189.13915857605178,130,87.17948717948718
Good,76,280.0,12,77,25,0,100,,7,8,25,0,40,-0.48519611654772077,0,17,42,2,4,1,50,True,268.0,59,100.0
Bad,72,79.0,2,26,13,0,100,,7,8,15,2,27,-0.48519611654772077,1,28,65,6,3,1,69,True,77.0,93,86.66666666666667
Good,73,288.0,2,82,14,0,93,5.0,4,6,17,1,20,-0.48519611654772077,2,4,69,2,3,0,63,False,286.0,73,82.3529411764706
Bad,67,213.0,1,56,53,0,98,42.0,6,5,59,11,18,-0.059961549925598906,2,22,89,7,5,1,52,False,212.0,111,89.83050847457628
Bad,61,255.0,5,93,34,2,100,,6,8,34,2,53,-0.2725788332366598,7,68,73,7,4,4,79,True,250.0,141,100.0
Good,72,254.0,24,87,20,1,100,,6,8,21,0,38,0.5778903000075839,0,42,9,4,2,2,67,True,230.0,51,95.23809523809524
Good,59,184.0,1,86,21,2,91,0.0,0,6,24,2,55,-0.48519611654772077,5,0,20,0,5,1,60,False,183.0,20,87.5
Bad,70,346.0,3,94,38,1,85,23.0,6,6,40,2,26,-0.48519611654772077,1,36,18,9,2,1,69,False,343.0,54,95.0
Bad,80,61.0,8,37,8,0,100,,7,8,8,1,13,-0.2725788332366598,2,0,58,1,2,0,50,True,53.0,58,100.0
Bad,74,455.0,4,194,20,0,95,43.0,6,6,20,2,25,0.7905075833186448,0,43,96,7,3,1,71,False,451.0,139,100.0
Bad,66,28.0,1,17,4,0,100,,7,8,5,2,60,0.15265573338546204,2,67,58,2,1,0,100,True,27.0,125,80.0
Bad,60,247.0,2,73,31,0,97,72.0,6,6,45,2,50,,2,83,72,12,4,6,94,True,245.0,155,68.88888888888889
Good,57,183.0,4,73,24,0,79,2.0,4,6,24,3,29,-0.2725788332366598,4,59,77,6,3,2,82,False,179.0,136,100.0
Bad,63,380.0,5,125,16,0,71,7.0,4,6,17,1,18,-0.48519611654772077,1,66,58,4,1,3,50,False,375.0,124,94.11764705882354
Good,89,388.0,11,187,16,0,100,,7,8,16,1,13,-0.48519611654772077,0,16,58,4,2,0,45,True,377.0,74,100.0
Good,72,111.0,4,32,21,0,100,,7,8,21,3,24,3.9797668329845592,0,50,100,5,2,2,57,True,107.0,150,100.0
Good,62,262.0,2,93,36,0,100,,7,8,37,1,35,3.5545322663624375,0,92,56,13,5,8,100,True,260.0,148,97.29729729729729
Bad,81,112.0,2,55,17,0,100,,7,8,19,1,47,-0.48519611654772077,1,24,58,1,2,1,33,True,110.0,82,89.47368421052632
