RiskPerformance,ExternalRiskEstimate,MSinceOldestTradeOpen,MSinceMostRecentTradeOpen,AverageMInFile,NumSatisfactoryTrades,NumTrades90Ever2DerogPubRec,PercentTradesNeverDelq,MSinceMostRecentDelq,MaxDelq2PublicRecLast12M,MaxDelqEver,NumTotalTrades,NumTradesOpeninLast12M,PercentInstallTrades,MSinceMostRecentInqexcl7days,NumInqLast6Mexcl7days,NetFractionRevolvingBurden,NetFractionInstallBurden,NumRevolvingTradesWBalance,NumInstallTradesWBalance,NumBank2NatlTradesWHighUtilization,PercentTradesWBalance,ConditionNotMet
Bad,59,30.0,2,12,2,1,100,,7,8,4,2,33,0.0,4,40,58,1,1,0,67,True
Bad,77,276.0,41,145,19,0,100,,7,8,19,0,21,,1,59,36,6,2,1,62,True
Bad,65,142.0,4,45,16,0,94,0.0,4,6,16,4,25,,3,19,59,4,3,1,70,True
Bad,70,151.0,2,79,38,0,95,24.0,6,6,39,1,21,0.0,1,29,84,14,3,2,81,False
Good,75,234.0,2,88,40,0,100,,7,8,41,2,32,2.0,1,10,53,5,4,0,45,True
Good,85,226.0,2,84,14,0,100,,7,8,27,1,13,2.0,1,6,58,6,2,0,75,True
Bad,55,117.0,12,49,16,0,95,1.0,4,6,20,0,15,0.0,2,42,58,6,1,3,58,False
Bad,75,175.0,1,74,22,1,96,44.0,6,3,25,2,36,0.0,3,64,58,2,3,1,50,False
Good,84,174.0,3,92,17,0,100,,7,8,18,1,53,0.0,10,6,58,2,4,0,86,True
Good,82,356.0,4,85,34,0,100,,7,8,34,3,21,0.0,1,2,58,5,1,0,35,True
Bad,64,56.0,14,35,2,1,100,,0,8,4,0,100,0.0,0,30,80,4,2,1,100,True
Bad,80,271.0,9,62,12,0,92,9.0,4,6,12,1,33,,0,29,50,1,2,0,60,True
Bad,56,166.0,2,55,28,2,78,1.0,4,2,32,3,28,1.0,1,43,85,13,4,4,81,False
Bad,70,127.0,25,57,23,0,96,13.0,6,6,24,0,13,0.0,0,51,58,9,2,1,67,False
Bad,54,225.0,0,79,44,2,75,3.0,3,2,63,6,25,1.0,5,18,77,10,4,0,80,False
Good,73,219.0,4,88,23,0,100,,7,8,24,3,46,0.0,1,45,88,6,2,1,89,True
Good,75,105.0,2,53,22,0,100,,7,8,25,5,56,0.0,1,31,21,5,3,1,80,True
Bad,68,199.0,2,90,28,0,97,54.0,6,6,29,3,34,1.0,1,60,42,4,2,2,67,False
Bad,79,190.0,3,53,27,0,100,,7,8,28,2,4,,0,55,58,2,2,1,50,True
Good,79,125.0,9,57,29,0,100,,7,8,33,1,45,,1,1,71,1,4,0,45,True
Good,84,138.0,3,69,13,0,100,,7,8,13,2,31,0.0,0,26,58,3,1,0,80,True
Bad,62,354.0,1,45,23,0,100,,7,8,29,9,21,1.0,5,48,94,10,3,2,65,True
Bad,63,97.0,9,44,9,6,71,58.0,6,2,17,4,29,0.0,4,69,58,1,1,1,50,False
Good,85,186.0,8,83,22,0,100,,7,8,22,2,18,21.0,0,9,79,2,2,0,36,True
Good,79,192.0,10,69,18,0,100,,7,8,18,1,28,,1,24,78,5,2,0,78,True
Bad,75,241.0,5,68,37,0,100,,7,8,37,1,43,0.0,0,25,67,3,3,2,43,True
Good,65,340.0,0,95,21,1,85,65.0,6,5,26,3,81,0.0,0,36,59,2,6,1,89,False
Good,70,78.0,4,50,23,0,96,11.0,4,6,24,1,46,3.0,2,48,76,2,5,0,78,False
Good,84,93.0,4,37,7,0,100,,7,8,7,4,29,,3,16,58,2,1,0,75,True
Good,81,302.0,23,145,9,0,90,53.0,6,5,10,0,30,21.0,0,1,75,2,2,0,80,False
Good,88,294.0,5,84,15,0,100,,7,8,15,2,53,4.0,1,2,82,2,2,0,50,True
Good,81,165.0,12,95,17,0,100,,7,8,18,0,50,0.0,0,21,29,2,2,1,80,True
Bad,63,207.0,11,74,45,0,100,,7,8,46,1,13,7.0,0,85,20,10,2,5,57,True
Bad,72,165.0,3,69,19,0,84,9.0,4,6,25,3,52,0.0,3,0,95,0,3,0,50,False
Good,74,170.0,2,10,3,0,100,,7,8,24,3,25,0.0,3,2,58,2,1,0,75,True
Bad,62,58.0,3,18,4,0,100,,7,8,4,3,25,2.0,6,99,97,3,1,1,100,True
Bad,59,277.0,9,95,16,1,76,0.0,4,5,18,1,12,3.0,1,25,80,6,1,1,54,False
Good,80,233.0,1,57,30,0,100,,7,8,31,6,16,0.0,1,9,70,3,2,1,42,True
Good,79,71.0,3,33,12,0,100,,7,8,12,3,25,11.0,0,11,94,3,2,0,56,True
Good,71,178.0,12,103,28,0,90,18.0,6,5,31,0,28,1.0,1,56,58,7,1,1,89,False
Bad,70,55.0,0,20,6,0,100,,7,8,11,6,18,0.0,6,28,36,3,2,0,45,True
Bad,57,172.0,56,116,10,12,58,20.0,0,2,21,0,17,0.0,0,12,58,2,2,1,67,False
Good,71,114.0,11,80,12,0,92,13.0,6,6,12,1,33,0.0,0,42,84,3,2,1,71,False
Good,73,264.0,3,71,29,0,93,25.0,6,6,29,5,21,0.0,0,14,72,9,3,0,62,False
Bad,57,304.0,16,79,11,0,73,2.0,4,6,11,0,36,0.0,1,85,36,5,3,1,100,False
Bad,70,252.0,3,73,20,2,88,31.0,6,3,24,4,67,2.0,1,16,93,3,2,0,63,False
Bad,72,196.13915857605178,2,16,4,0,100,,7,8,6,3,50,,0,29,100,2,2,0,67,True
Good,78,292.0,11,79,16,0,100,,7,8,16,1,44,0.0,2,33,85,2,3,1,71,True
Good,86,276.0,7,77,18,0,100,,7,8,18,2,28,0.0,0,7,88,4,2,0,60,True
Bad,84,325.0,2,107,13,0,100,,7,8,14,2,29,1.0,1,19,98,4,3,0,70,True
Good,84,315.0,7,150,20,0,95,42.0,6,6,20,1,25,0.0,0,13,89,5,2,0,64,False
Bad,74,139.0,1,61,27,0,93,29.0,6,6,28,4,25,0.0,1,19,21,2,3,1,42,False
Bad,64,181.0,4,48,26,1,93,6.0,4,2,27,4,59,0.0,1,30,37,4,4,2,69,False
Bad,64,50.0,7,26,14,2,100,,6,8,15,3,43,8.0,0,64,77,3,3,1,55,True
Bad,54,336.0,13,93,17,1,89,4.0,2,4,18,0,33,0.0,4,65,53,4,2,2,75,False
Good,79,196.0,3,50,13,0,100,,7,8,13,3,46,0.0,0,48,58,2,1,2,60,True
Good,82,247.0,1,90,25,0,100,,7,8,29,2,24,,0,29,58,6,1,1,54,True
Good,70,298.0,5,71,24,0,96,81.0,6,6,47,6,13,0.0,2,29,58,3,1,1,36,False
Good,64,60.0,11,26,6,0,86,11.0,3,5,7,1,43,0.0,0,95,58,2,1,0,75,False
Bad,54,117.0,7,63,18,1,77,3.0,4,5,23,1,41,0.0,0,26,93,3,2,1,50,False
Good,67,74.0,2,35,12,0,92,10.0,4,6,13,3,31,,7,23,58,5,1,0,75,True
Good,61,150.0,9,36,5,0,83,11.0,4,6,6,2,33,0.0,0,69,74,3,2,1,100,False
Bad,79,340.0,4,80,52,0,96,10.0,4,6,77,2,13,6.0,0,2,58,2,1,0,12,False
Bad,61,215.0,14,120,16,0,89,4.0,4,6,18,0,39,0.0,2,45,58,5,1,2,67,False
Good,87,150.0,27,77,27,0,100,,7,8,27,0,30,2.0,1,4,3,4,2,0,55,True
Good,75,234.0,0,73,34,0,97,30.0,6,5,45,6,11,0.0,2,11,88,6,2,1,33,False
Bad,64,192.0,1,76,22,0,96,16.0,6,6,25,2,32,0.0,0,67,64,6,4,4,77,False
Bad,65,208.0,3,56,14,1,88,57.0,0,5,43,4,13,,4,14,58,5,1,3,55,True
Bad,76,66.0,2,31,5,0,100,,7,8,7,3,0,0.0,1,47,58,3,2,2,100,True
Bad,79,157.0,1,51,20,0,100,,7,8,38,4,14,1.0,1,11,58,3,2,2,27,True
Bad,55,127.0,9,60,28,0,80,7.0,3,5,30,2,47,0.0,0,69,142,7,9,1,89,False
Good,79,196.13915857605178,7,104,20,0,95,27.0,6,6,20,2,55,,0,27,49,5,3,0,100,True
Bad,60,264.0,22,53,10,2,100,,0,8,12,0,40,0.0,1,92,63,4,2,2,86,True
Bad,55,101.0,4,29,12,0,92,2.0,4,6,13,3,38,0.0,0,43,83,5,3,2,100,False
Bad,80,180.0,23,118,15,0,100,,7,8,27,0,7,10.0,0,42,58,2,2,1,33,True
Good,72,413.0,10,70,31,0,97,54.0,6,6,31,2,74,0.0,1,25,58,2,1,1,43,False
Good,68,265.0,4,93,31,1,91,6.0,4,6,34,1,62,0.0,0,0,69,1,9,0,85,False
Bad,60,343.0,5,58,5,1,67,1.0,4,5,10,2,17,6.0,0,5,93,4,1,0,83,False
Bad,69,163.0,7,69,28,0,100,,7,8,29,3,41,1.0,3,52,79,8,3,2,75,True
Bad,72,252.0,1,47,14,0,94,39.0,6,6,16,6,31,0.0,2,49,71,3,3,0,78,False
Good,84,411.0,23,91,10,0,100,,6,8,11,0,36,0.0,0,17,58,2,2,0,100,True
Good,82,271.0,2,79,25,0,100,,7,8,33,3,31,2.0,1,2,74,4,2,0,50,True
Bad,63,20.0,3,10,15,0,100,,7,8,15,11,13,0.0,6,18,91,4,2,1,40,True
Bad,57,119.0,7,7,3,0,100,,7,8,7,3,0,,6,84,58,3,2,1,100,True
Good,78,126.0,7,58,41,0,100,,7,8,45,2,51,0.0,2,14,75,3,5,0,50,True
Good,91,455.0,10,202,11,0,100,,7,8,11,1,18,,1,5,58,1,1,0,33,True
Good,71,207.0,14,147,26,0,89,8.0,4,6,28,0,36,,0,1,58,3,2,0,64,True
Good,70,132.0,2,64,20,1,92,6.0,4,6,26,4,4,0.0,1,1,58,1,2,0,13,False
Bad,60,92.0,16,58,19,3,78,5.0,3,2,23,0,57,,2,51,58,2,1,0,60,True
Good,78,108.0,2,43,17,0,100,,7,8,18,4,39,,2,15,50,4,3,1,78,True
Good,84,199.0,14,114,22,0,100,,6,7,22,0,36,7.0,0,11,33,6,2,0,57,True
Good,66,190.0,3,94,33,1,97,13.0,6,6,33,1,55,0.0,4,23,79,2,4,0,75,False
Good,86,249.0,5,87,30,0,100,,7,8,32,1,25,3.0,5,6,95,1,1,0,67,True
Bad,65,216.0,6,80,19,0,70,7.0,4,5,20,1,30,0.0,0,21,58,2,1,0,38,False
Bad,75,206.0,4,65,15,2,88,78.0,6,2,17,1,53,,1,0,58,0,1,0,33,True
Good,69,252.0,3,90,44,0,91,7.0,4,5,46,4,20,4.0,1,23,100,11,2,1,78,False
Bad,61,96.0,3,28,9,1,80,8.0,4,2,16,3,40,,0,26,99,3,2,1,63,True
Good,80,93.0,2,34,13,0,100,,7,8,15,3,40,7.0,0,6,84,3,3,0,67,True
Good,62,190.0,4,80,29,0,74,13.0,6,5,31,3,45,0.0,0,60,82,6,8,1,100,False
Good,60,143.0,1,78,34,0,86,24.0,6,5,37,1,30,0.0,0,75,58,5,1,3,67,False
Bad,64,201.0,3,78,58,0,95,59.0,6,6,58,6,21,0.0,3,35,99,9,4,3,39,False
Bad,62,87.0,9,42,10,1,83,5.0,3,5,12,2,33,1.0,1,14,90,4,1,1,63,False
Bad,62,172.0,4,71,29,0,86,2.0,4,6,29,2,28,,1,32,50,2,4,2,50,True
Bad,69,165.0,4,62,12,0,92,75.0,6,6,12,2,58,0.0,1,97,71,4,1,3,100,False
Bad,85,358.0,36,157,4,0,80,55.0,6,5,5,0,0,0.0,0,0,58,0,2,0,0,False
Good,81,118.0,2,60,6,0,100,,7,8,7,1,14,0.0,3,6,58,2,2,1,50,True
Good,85,158.0,16,70,8,0,100,,7,8,8,0,25,6.0,0,20,80,3,2,0,83,True
Good,86,191.0,7,82,27,0,100,,7,8,28,1,22,7.0,0,0,58,0,1,0,8,True
Good,76,185.0,4,69,32,0,97,25.0,6,6,34,3,13,,1,16,54,4,3,0,41,True
Good,66,245.0,44,131,12,0,79,1.0,4,5,14,0,36,0.0,1,46,58,3,1,0,100,False
Good,76,158.0,2,73,25,0,100,,7,8,27,2,19,0.0,2,23,58,6,3,1,64,True
Bad,76,136.0,1,57,20,0,100,,7,8,21,2,33,0.0,0,44,58,5,1,1,60,True
Bad,65,287.0,2,82,22,0,100,,7,8,23,3,35,0.0,1,98,96,10,3,4,100,True
Bad,59,291.0,6,128,27,4,90,3.0,2,3,31,2,23,1.0,1,42,59,2,3,1,67,False
Bad,67,196.13915857605178,7,68,34,0,100,,7,8,39,3,13,,5,90,40,13,4,9,89,True
Good,76,280.0,12,77,25,0,100,,7,8,25,0,40,0.0,0,17,42,2,4,1,50,True
Bad,72,79.0,2,26,13,0,100,,7,8,15,2,27,0.0,1,28,65,6,3,1,69,True
Good,73,288.0,2,82,14,0,93,5.0,4,6,17,1,20,0.0,2,4,69,2,3,0,63,False
Bad,67,213.0,1,56,53,0,98,42.0,6,5,59,11,18,2.0,2,22,89,7,5,1,52,False
Bad,61,255.0,5,93,34,2,100,,6,8,34,2,53,1.0,7,68,73,7,4,4,79,True
Good,72,254.0,24,87,20,1,100,,6,8,21,0,38,5.0,0,42,9,4,2,2,67,True
Good,59,184.0,1,86,21,2,91,0.0,0,6,24,2,55,0.0,5,0,20,0,5,1,60,False
Bad,70,346.0,3,94,38,1,85,23.0,6,6,40,2,26,0.0,1,36,18,9,2,1,69,False
Bad,80,61.0,8,37,8,0,100,,7,8,8,1,13,1.0,2,0,58,1,2,0,50,True
Bad,74,455.0,4,194,20,0,95,43.0,6,6,20,2,25,6.0,0,43,96,7,3,1,71,False
Bad,66,28.0,1,17,4,0,100,,7,8,5,2,60,3.0,2,67,58,2,1,0,100,True
Bad,60,247.0,2,73,31,0,97,72.0,6,6,45,2,50,,2,83,72,12,4,6,94,True
Good,57,183.0,4,73,24,0,79,2.0,4,6,24,3,29,1.0,4,59,77,6,3,2,82,False
Bad,63,380.0,5,125,16,0,71,7.0,4,6,17,1,18,0.0,1,66,58,4,1,3,50,False
Good,89,388.0,11,187,16,0,100,,7,8,16,1,13,0.0,0,16,58,4,2,0,45,True
Good,72,111.0,4,32,21,0,100,,7,8,21,3,24,21.0,0,50,100,5,2,2,57,True
Good,62,262.0,2,93,36,0,100,,7,8,37,1,35,19.0,0,92,56,13,5,8,100,True
Bad,81,112.0,2,55,17,0,100,,7,8,19,1,47,0.0,1,24,58,1,2,1,33,True
Bad,86,263.0,39,109,11,0,100,,7,8,11,0,27,0.0,1,11,58,2,1,0,50,True
Bad,74,197.0,5,90,30,0,97,13.0,6,6,31,2,16,0.0,0,25,58,6,1,2,54,False
Bad,69,72.0,8,44,19,0,100,,7,8,19,2,47,0.0,0,35,33,4,5,0,69,True
Good,90,246.0,5,81,9,0,100,,7,8,9,1,11,13.0,0,10,58,2,2,0,50,True
Good,81,246.0,12,86,21,0,100,,7,8,22,0,55,0.0,0,0,89,0,6,0,43,True
Bad,77,73.0,3,41,22,0,100,,7,8,22,2,27,0.0,1,0,94,1,3,0,29,True
Bad,82,115.0,4,45,16,0,100,,7,8,16,3,63,0.0,0,0,92,1,3,0,50,True
Good,72,230.0,21,113,17,0,100,,7,8,17,0,41,10.0,0,75,58,7,1,2,89,True
Bad,74,197.0,1,93,31,0,86,29.0,6,5,35,3,26,0.0,2,28,27,2,4,0,40,False
Good,66,174.0,1,75,38,0,100,,7,8,40,5,40,,6,77,60,4,8,3,75,True
Bad,66,15.0,6,11,2,0,100,,7,8,2,1,100,0.0,0,30,58,4,1,1,100,True
Good,71,269.0,4,93,26,0,96,9.0,4,6,31,3,23,3.0,1,46,58,5,1,2,55,False
Good,70,335.0,3,105,35,2,87,34.0,6,4,39,5,33,0.0,2,27,6,10,3,1,88,False
Good,82,212.0,22,115,14,0,100,,7,8,15,0,33,,0,45,58,4,2,0,75,True
Bad,88,199.0,9,83,17,0,100,,7,8,17,1,24,,0,0,70,0,2,0,50,True
Good,76,279.0,7,119,43,0,100,,7,8,50,5,18,0.0,0,38,97,8,3,4,55,True
Bad,86,274.0,39,106,8,0,100,,7,8,8,0,50,0.0,0,0,12,1,1,0,67,True
Good,78,177.0,1,65,26,0,96,13.0,6,6,28,3,46,,1,4,72,4,5,0,64,True
Good,73,207.0,4,68,25,0,96,17.0,6,6,26,4,46,0.0,3,0,58,2,1,0,43,False
Good,69,181.0,7,98,21,0,100,,7,8,37,1,33,21.0,0,84,94,7,2,4,91,True
Good,91,310.0,9,145,16,0,100,,7,8,19,1,53,14.0,0,5,58,1,1,0,40,True
Bad,63,134.0,2,63,33,0,92,25.0,6,6,37,3,51,5.0,0,45,80,10,4,0,88,False
Good,77,256.0,3,93,37,0,92,19.0,6,6,39,4,23,3.0,1,13,58,3,1,0,31,False
Bad,64,179.0,2,85,26,0,100,,7,8,28,4,32,,1,85,38,10,2,6,86,True
Good,84,169.0,21,57,15,0,100,,7,8,15,0,33,0.0,1,11,58,3,1,0,57,True
Bad,80,93.0,5,45,6,0,100,,7,8,6,2,50,,7,7,83,1,1,0,67,True
Bad,61,388.0,8,80,11,0,82,21.0,6,6,11,2,36,0.0,1,71,58,4,1,3,63,False
Bad,80,250.0,5,92,40,0,100,,7,8,42,3,17,0.0,2,19,58,7,1,1,45,True
Good,83,166.0,2,65,18,0,95,57.0,6,6,19,3,32,,1,12,64,2,3,0,63,True
Good,63,224.0,4,52,28,1,96,29.0,6,6,28,4,29,6.0,0,42,73,8,3,3,73,False
Bad,60,101.0,8,34,20,0,81,8.0,4,5,21,2,67,0.0,0,30,89,1,8,1,82,False
Good,86,141.0,2,64,14,0,100,,7,8,18,3,72,2.0,3,0,90,0,3,0,60,True
Bad,52,196.13915857605178,4,42,22,2,92,38.0,6,5,26,2,24,,4,75,74,13,1,6,82,True
Good,80,344.0,4,92,35,0,94,59.0,6,6,38,3,26,10.0,0,17,86,5,2,0,39,False
Good,68,217.0,11,109,24,0,88,18.0,6,6,24,1,17,0.0,4,61,58,5,1,3,50,False
Bad,60,279.0,2,37,29,0,97,6.0,4,6,48,7,23,,1,31,90,6,3,2,45,True
Good,67,212.0,13,112,24,0,88,2.0,4,6,25,0,48,,1,21,71,6,4,1,100,True
Bad,70,23.0,1,12,2,0,100,,7,8,3,1,67,,1,0,97,0,2,1,67,True
Bad,54,68.0,7,23,5,0,83,3.0,4,6,6,3,33,0.0,0,66,81,3,2,1,83,False
Bad,74,202.0,23,68,27,0,93,7.0,4,6,27,0,30,0.0,0,16,48,3,3,0,46,False
Bad,55,154.0,7,68,19,0,84,3.0,4,6,22,2,21,3.0,1,62,58,4,1,3,56,False
Bad,66,115.0,7,60,40,0,93,2.0,4,6,40,4,25,1.0,3,37,59,5,3,0,80,False
Good,62,275.0,1,87,27,0,90,30.0,6,6,30,4,33,1.0,3,57,54,7,5,3,76,False
Bad,59,170.0,5,66,25,0,69,2.0,4,6,26,1,15,4.0,2,39,58,8,1,1,56,False
Bad,69,121.0,3,55,31,1,97,43.0,6,4,32,2,59,0.0,1,43,66,5,6,0,73,False
Good,89,222.0,12,136,20,0,100,,7,8,22,0,36,20.0,0,0,58,0,1,0,17,True
Bad,71,183.0,2,116,29,0,100,,7,8,31,1,39,,2,42,97,3,2,0,75,True
Good,74,206.0,9,66,16,0,100,,7,8,37,1,25,,2,52,56,6,2,1,73,True
Good,75,337.0,10,151,12,1,92,26.0,6,2,13,1,38,19.0,0,0,58,0,2,0,0,False
Bad,66,288.0,10,77,27,0,96,26.0,6,6,44,1,44,12.0,0,72,86,7,2,3,100,False
Good,81,275.0,3,80,50,0,98,33.0,6,6,50,2,16,7.0,0,3,10,3,3,0,25,False
Bad,56,133.0,2,64,15,0,88,3.0,4,6,17,2,12,0.0,2,84,58,10,1,4,92,False
Good,87,492.0,10,127,14,0,100,,7,8,15,1,21,14.0,0,9,58,5,1,0,60,True
Good,59,320.0,5,115,13,1,73,1.0,0,2,15,1,20,0.0,0,16,35,6,2,0,80,False
Good,86,255.0,15,140,27,0,100,,7,8,28,0,25,3.0,1,1,62,2,2,0,38,True
Good,75,200.0,6,66,40,0,98,26.0,6,6,40,1,45,0.0,1,27,74,1,3,1,31,False
Bad,57,341.0,5,109,29,0,97,3.0,4,6,29,1,28,0.0,0,67,50,9,4,5,76,False
Bad,87,204.0,1,78,45,0,100,,7,8,46,2,59,14.0,0,1,95,3,2,0,50,True
Good,80,266.0,7,98,15,0,100,,7,8,17,1,35,2.0,1,46,58,1,1,1,40,True
Bad,81,74.0,2,47,24,0,100,,7,8,26,1,12,,2,8,58,2,1,0,38,True
Good,85,193.0,8,90,19,0,100,,7,8,19,3,16,0.0,2,18,58,2,1,0,60,True
Bad,78,212.0,36,96,11,0,100,,7,8,13,0,15,4.0,1,50,58,4,1,2,71,True
Bad,62,163.0,11,53,22,0,87,23.0,6,6,23,1,39,0.0,0,68,92,6,2,3,89,False
Bad,69,178.0,22,74,25,0,92,12.0,6,6,25,0,40,0.0,5,20,45,5,2,0,70,False
Bad,59,279.0,4,70,7,0,63,7.0,4,6,8,2,25,1.0,1,72,40,4,2,1,86,False
Good,67,136.0,2,73,15,1,89,33.0,6,6,30,2,56,0.0,0,61,100,3,2,0,100,False
Bad,69,196.0,3,55,8,0,73,7.0,4,5,28,2,45,0.0,1,27,47,2,2,0,67,False
Good,88,166.0,17,84,12,0,100,,7,8,12,0,17,13.0,0,0,58,0,1,0,25,True
Good,90,320.0,8,85,8,0,100,,7,8,8,1,25,12.0,0,2,58,2,2,1,67,True
Good,71,193.0,37,105,9,0,78,11.0,4,6,9,0,44,0.0,0,39,12,2,2,0,67,False
Bad,63,153.0,6,68,37,1,91,25.0,6,6,45,1,89,0.0,0,82,74,3,5,0,100,False
Good,70,118.0,7,45,17,0,88,11.0,4,6,17,4,35,0.0,0,15,58,1,1,0,29,False
Good,69,276.0,3,118,33,0,97,41.0,6,6,35,1,17,3.0,2,69,100,9,2,6,67,False
Good,81,190.0,6,84,21,0,100,,7,8,21,2,29,7.0,0,8,91,5,2,0,88,True
Bad,61,119.0,7,41,17,3,94,13.0,6,6,19,2,17,0.0,1,34,58,5,3,2,67,False
Bad,86,206.0,26,89,15,0,100,,7,8,17,0,47,,0,5,58,2,1,0,50,True
Bad,63,95.0,3,37,19,2,100,,6,8,19,4,37,,2,43,67,5,4,1,69,True
Good,75,254.0,4,60,9,0,100,,7,8,9,2,44,0.0,1,60,95,2,2,0,80,True
Good,75,187.0,7,95,22,0,100,,7,8,24,2,50,0.0,0,46,54,3,3,1,67,True
Bad,73,217.0,22,87,34,0,100,,7,8,36,0,17,0.0,1,91,58,7,2,3,100,True
Good,72,214.0,17,61,21,0,100,,7,8,21,0,33,0.0,0,66,66,7,2,2,64,True
Good,64,173.0,1,69,43,0,93,3.0,4,6,55,4,20,0.0,2,11,100,4,2,0,35,False
Good,83,294.0,2,106,22,1,92,43.0,6,4,47,3,16,2.0,1,0,35,2,2,0,44,False
Good,85,192.0,2,86,25,0,100,,7,8,29,2,41,,1,28,68,2,3,0,63,True
Bad,78,266.0,13,95,16,0,100,,7,8,16,0,56,0.0,2,51,90,4,2,1,100,True
Good,77,180.0,35,92,16,0,94,37.0,6,6,25,0,56,0.0,0,32,50,2,2,1,67,False
Bad,57,180.0,9,98,19,3,74,4.0,0,6,21,1,21,0.0,1,21,95,9,1,0,71,False
Good,79,169.0,6,70,44,0,100,,6,8,44,4,23,0.0,0,9,93,3,2,0,42,True
Good,70,272.0,1,77,28,0,100,,7,8,29,5,28,0.0,3,63,90,1,2,1,31,True
Bad,60,59.0,3,31,14,0,93,13.0,6,6,14,4,36,0.0,4,57,48,8,4,1,100,False
Bad,62,83.0,1,38,13,1,93,36.0,0,5,15,4,60,7.0,0,3,74,1,4,0,63,False
Good,78,233.0,9,103,42,0,100,,7,8,42,2,38,0.0,0,20,85,5,4,0,56,True
Bad,69,361.0,8,96,26,0,89,1.0,4,5,28,1,29,,0,29,57,5,3,0,64,True
Good,78,164.0,10,82,15,0,100,,7,8,16,1,38,0.0,0,56,69,3,2,0,83,True
Bad,58,334.0,4,99,34,0,68,13.0,6,6,37,2,54,2.0,4,68,32,3,4,1,58,False
Good,84,273.0,6,119,19,0,95,25.0,6,6,19,1,16,0.0,2,3,58,2,1,0,30,False
Good,86,403.0,3,131,18,0,100,,7,8,21,2,24,0.0,4,2,58,4,2,0,40,True
Good,90,190.0,3,94,15,0,100,,7,8,15,1,27,3.0,1,3,58,1,1,0,67,True
Bad,60,134.0,4,55,38,0,92,5.0,4,6,39,6,46,0.0,0,42,53,11,5,2,89,False
Good,63,202.0,6,31,9,2,90,34.0,6,2,25,4,20,,1,49,81,6,2,1,89,True
Bad,69,122.0,6,52,13,3,92,74.0,6,6,16,2,92,0.0,1,52,97,1,4,0,100,False
Good,80,145.0,5,53,29,0,100,,7,8,30,7,17,10.0,0,0,58,2,1,0,20,True
Good,85,297.0,10,104,23,0,100,,7,8,23,1,26,0.0,0,3,56,3,4,0,50,True
Good,88,178.0,14,97,8,0,100,,7,8,8,0,38,15.0,0,0,77,2,1,0,75,True
Bad,70,84.0,1,46,16,0,94,,6,7,23,2,11,0.0,2,86,91,7,1,4,80,True
Bad,59,185.0,7,76,21,0,83,11.0,4,6,24,2,63,0.0,3,59,64,2,6,2,73,False
Bad,63,163.0,3,25,24,0,100,,7,8,31,5,59,,1,101,90,6,6,4,100,True
Bad,60,43.0,1,21,16,0,94,36.0,6,6,17,7,29,0.0,9,32,99,4,1,1,50,False
Good,64,216.0,2,86,18,1,60,42.0,6,4,25,2,36,0.0,3,40,58,1,4,1,60,False
Bad,72,183.0,7,63,15,0,100,,7,8,15,1,40,0.0,4,61,62,2,1,1,38,True
Bad,74,131.0,8,46,21,0,96,47.0,6,6,24,3,54,1.0,1,30,106,1,9,1,100,False
Good,81,238.0,7,60,30,0,97,73.0,6,6,51,1,47,12.0,0,7,89,1,6,0,54,False
Good,87,270.0,26,83,28,0,100,,7,8,28,0,25,0.0,0,0,58,1,2,0,10,True
Bad,44,196.13915857605178,40,131,57,1,68,0.0,0,5,63,0,32,,1,58,13,17,3,4,79,True
Good,86,227.0,9,103,32,0,100,,7,8,35,2,28,14.0,0,14,16,3,2,0,42,True
Good,85,141.0,15,77,25,0,96,30.0,6,6,32,0,12,11.0,0,1,58,3,1,0,50,False
Good,84,146.0,11,49,14,0,100,,7,8,14,1,21,4.0,1,1,58,2,1,0,50,True
Good,73,287.0,4,102,10,0,55,13.0,6,5,11,3,55,,2,30,65,2,2,0,67,True
Bad,62,175.0,2,46,18,0,95,0.0,4,6,20,2,75,0.0,2,57,81,3,5,1,89,False
Good,75,438.0,1,79,48,0,100,,7,8,53,2,20,0.0,3,12,26,9,3,2,52,True
Bad,63,181.0,2,76,22,1,80,1.0,4,3,25,3,12,3.0,1,29,79,7,1,0,53,False
Bad,65,79.0,9,40,11,0,77,8.0,4,5,13,1,46,0.0,2,0,96,0,2,1,75,False
Bad,68,266.0,13,93,29,1,90,39.0,6,6,29,0,59,0.0,2,98,53,3,4,3,88,False
Good,80,234.0,0,62,27,0,100,,7,8,35,4,26,0.0,3,22,58,4,1,2,38,True
Bad,59,137.0,8,62,16,1,100,,7,8,18,3,59,0.0,1,58,93,2,1,1,100,True
Bad,66,172.0,10,90,44,0,100,,7,8,48,1,38,,1,65,85,12,2,8,82,True
Good,79,150.0,11,59,27,0,100,,7,8,27,1,33,2.0,4,8,77,2,3,0,50,True
Good,84,380.0,5,109,24,0,100,,7,8,24,1,4,0.0,1,1,58,3,1,0,27,True
Good,65,258.0,3,98,21,2,70,11.0,4,4,55,4,33,7.0,0,2,75,2,4,0,46,False
Bad,68,141.0,7,51,15,0,100,,7,8,15,4,33,0.0,0,47,92,5,2,1,78,True
Good,82,193.0,1,75,36,0,100,,7,8,37,3,38,0.0,5,7,58,2,2,0,33,True
Good,72,226.0,6,127,42,0,95,21.0,6,6,43,2,40,,1,38,47,10,2,1,71,True
