RiskPerformance,ExternalRiskEstimate,MSinceOldestTradeOpen,MSinceMostRecentTradeOpen,AverageMInFile,NumSatisfactoryTrades,NumTrades90Ever2DerogPubRec,PercentTradesNeverDelq,MSinceMostRecentDelq,MaxDelq2PublicRecLast12M,MaxDelqEver,NumTotalTrades,NumTradesOpeninLast12M,PercentInstallTrades,MSinceMostRecentInqexcl7days,NumInqLast6Mexcl7days,NetFractionRevolvingBurden,NetFractionInstallBurden,NumRevolvingTradesWBalance,NumInstallTradesWBalance,NumBank2NatlTradesWHighUtilization,PercentTradesWBalance,DelqEver,DelqLast12M,PercentSatisfactoryTrades,NumTradesWBalance
Bad,63,62,6,31,8,0,100,122.0,7,7,8,2,25,0,3,91,139.0,5,1,1,86,False,False,100.0,6
Bad,58,194,5,83,23,1,85,2.0,4,4,26,2,35,0,0,72,95.0,9,2,3,92,True,True,88.0,23
Bad,70,69,18,44,10,0,100,122.0,7,7,10,0,20,0,4,70,53.0,3,1,2,57,False,False,100.0,5
Bad,73,250,6,67,42,0,100,122.0,7,7,47,2,49,0,1,50,86.0,4,7,1,69,False,False,89.0,32
Good,83,228,2,95,46,0,100,122.0,7,7,51,3,33,1,1,26,100.0,2,1,1,27,False,False,90.0,13
Bad,66,208,9,68,18,1,94,33.0,7,6,18,2,39,0,2,0,5.0,1,3,1,83,True,False,100.0,14
Good,76,163,5,80,44,0,100,122.0,7,7,68,2,28,35,1,14,57.0,8,3,2,58,False,False,65.0,39
Bad,57,181,4,69,28,0,84,5.0,6,5,32,4,31,0,2,78,83.0,3,3,2,78,True,True,88.0,24
Good,73,445,15,125,12,0,83,21.0,7,6,12,0,42,0,1,55,,4,1,1,100,True,False,100.0,12
Good,80,163,1,65,27,0,97,41.0,7,6,29,1,45,11,0,23,,5,1,0,67,True,False,93.0,19
Bad,72,354,4,105,22,0,100,122.0,7,7,24,5,29,0,0,89,77.0,7,3,5,92,False,False,92.0,22
Good,85,225,0,78,42,0,100,122.0,7,7,45,3,38,0,1,6,92.0,3,2,0,31,False,False,93.0,13
Bad,79,222,6,94,24,0,100,122.0,7,7,24,2,42,9,0,82,48.0,2,4,1,88,False,False,100.0,21
Good,67,144,21,62,22,0,86,6.0,6,6,22,0,59,1,2,11,58.0,2,3,1,100,True,True,100.0,22
Bad,72,185,3,75,24,0,96,52.0,7,6,26,2,38,0,2,43,88.0,5,2,2,70,True,False,92.0,18
Bad,69,175,5,58,20,0,85,19.0,7,6,20,3,25,5,1,10,73.0,4,3,0,64,True,False,100.0,12
Good,80,162,9,82,22,0,100,122.0,7,7,24,1,58,0,0,79,45.0,2,2,1,80,False,False,92.0,19
Bad,77,276,41,145,19,0,100,122.0,7,7,19,0,21,35,1,59,36.0,6,2,1,62,False,False,100.0,11
Bad,70,151,2,79,38,0,95,24.0,7,6,39,1,21,0,1,29,84.0,14,3,2,81,True,False,97.0,31
Good,75,234,2,88,40,0,100,122.0,7,7,41,2,32,2,1,10,53.0,5,4,0,45,False,False,98.0,18
Good,85,226,2,84,14,0,100,122.0,7,7,27,1,13,2,1,6,,6,2,0,75,False,False,52.0,20
Bad,55,117,12,49,16,0,95,1.0,6,6,20,0,15,0,2,42,,6,1,3,58,True,True,80.0,11
Bad,75,175,1,74,22,1,96,44.0,7,3,25,2,36,0,3,64,,2,3,1,50,True,False,88.0,12
Good,84,174,3,92,17,0,100,122.0,7,7,18,1,53,0,10,6,,2,4,0,86,False,False,94.0,15
Good,82,356,4,85,34,0,100,122.0,7,7,34,3,21,0,1,2,,5,1,0,35,False,False,100.0,11
Bad,80,271,9,62,12,0,92,9.0,6,6,12,1,33,35,0,29,50.0,1,2,0,60,True,True,100.0,7
Bad,56,166,2,55,28,2,78,1.0,6,2,32,3,28,1,1,43,85.0,13,4,4,81,True,True,88.0,25
Bad,70,127,25,57,23,0,96,67.5,7,6,24,0,13,0,0,51,,9,2,1,67,True,False,96.0,16
Bad,54,225,0,79,44,2,75,3.0,6,2,63,6,25,1,5,18,77.0,10,4,0,80,True,True,70.0,50
Good,73,219,4,88,23,0,100,122.0,7,7,24,3,46,0,1,45,88.0,6,2,1,89,False,False,96.0,21
Good,75,105,2,53,22,0,100,122.0,7,7,25,5,56,0,1,31,21.0,5,3,1,80,False,False,88.0,20
Bad,68,199,2,90,28,0,97,54.0,7,6,29,3,34,1,1,60,42.0,4,2,2,67,True,False,97.0,19
Bad,79,190,3,53,27,0,100,122.0,7,7,28,2,4,35,0,55,,2,2,1,50,False,False,96.0,14
Good,79,125,9,57,29,0,100,122.0,7,7,33,1,45,35,1,1,71.0,1,4,0,45,False,False,88.0,14
Good,84,138,3,69,13,0,100,122.0,7,7,13,2,31,0,0,26,,3,1,0,80,False,False,100.0,10
Bad,62,354,1,45,23,0,100,122.0,7,7,29,9,21,1,5,48,94.0,10,3,2,65,False,False,79.0,18
Bad,63,97,9,44,9,6,71,58.0,7,2,17,4,29,0,4,69,,1,1,1,50,True,False,53.0,8
Good,85,186,8,83,22,0,100,122.0,7,7,22,2,18,21,0,9,79.0,2,2,0,36,False,False,100.0,7
Good,79,192,10,69,18,0,100,122.0,7,7,18,1,28,35,1,24,78.0,5,2,0,78,False,False,100.0,14
Bad,75,241,5,68,37,0,100,122.0,7,7,37,1,43,0,0,25,67.0,3,3,2,43,False,False,100.0,15
Good,65,340,0,95,21,1,85,65.0,7,5,26,3,81,0,0,36,59.0,2,6,1,89,True,False,81.0,23
Good,70,78,4,50,23,0,96,11.0,6,6,24,1,46,3,2,48,76.0,2,5,0,78,True,True,96.0,18
Good,84,93,4,37,7,0,100,122.0,7,7,7,4,29,35,3,16,,2,1,0,75,False,False,100.0,5
Good,81,302,23,145,9,0,90,53.0,7,5,10,0,30,21,0,1,75.0,2,2,0,80,True,False,90.0,8
Good,88,294,5,84,15,0,100,122.0,7,7,15,2,53,4,1,2,82.0,2,2,0,50,False,False,100.0,7
Good,81,165,12,95,17,0,100,122.0,7,7,18,0,50,0,0,21,29.0,2,2,1,80,False,False,94.0,14
Bad,63,207,11,74,45,0,100,122.0,7,7,46,1,13,7,0,85,20.0,10,2,5,57,False,False,98.0,26
Bad,72,165,3,69,19,0,84,9.0,6,6,25,3,52,0,3,0,95.0,0,3,0,50,True,True,76.0,12
Good,74,170,2,10,3,0,100,122.0,7,7,24,3,25,0,3,2,,2,1,0,75,False,False,12.0,18
Bad,62,58,3,18,4,0,100,122.0,7,7,4,3,25,2,6,99,97.0,3,1,1,100,False,False,100.0,4
Bad,59,277,9,95,16,1,76,0.0,6,5,18,1,12,3,1,25,80.0,6,1,1,54,True,True,89.0,9
Good,80,233,1,57,30,0,100,122.0,7,7,31,6,16,0,1,9,70.0,3,2,1,42,False,False,97.0,13
Good,79,71,3,33,12,0,100,122.0,7,7,12,3,25,11,0,11,94.0,3,2,0,56,False,False,100.0,6
Good,71,178,12,103,28,0,90,18.0,7,5,31,0,28,1,1,56,,7,1,1,89,True,False,90.0,27
Bad,70,55,0,20,6,0,100,122.0,7,7,11,6,18,0,6,28,36.0,3,2,0,45,False,False,55.0,4
Bad,57,172,56,116,10,12,58,20.0,2,2,21,0,17,0,0,12,,2,2,1,67,True,True,48.0,14
Good,71,114,11,80,12,0,92,67.5,7,6,12,1,33,0,0,42,84.0,3,2,1,71,True,False,100.0,8
Good,73,264,3,71,29,0,93,25.0,7,6,29,5,21,0,0,14,72.0,9,3,0,62,True,False,100.0,17
Bad,57,304,16,79,11,0,73,2.0,6,6,11,0,36,0,1,85,36.0,5,3,1,100,True,True,100.0,11
Bad,70,252,3,73,20,2,88,31.0,7,3,24,4,67,2,1,16,93.0,3,2,0,63,True,False,83.0,15
Bad,72,181,2,16,4,0,100,122.0,7,7,6,3,50,35,0,29,100.0,2,2,0,67,False,False,67.0,4
Good,78,292,11,79,16,0,100,122.0,7,7,16,1,44,0,2,33,85.0,2,3,1,71,False,False,100.0,11
Good,86,276,7,77,18,0,100,122.0,7,7,18,2,28,0,0,7,88.0,4,2,0,60,False,False,100.0,10
Bad,84,325,2,107,13,0,100,122.0,7,7,14,2,29,1,1,19,98.0,4,3,0,70,False,False,93.0,9
Good,84,315,7,150,20,0,95,42.0,7,6,20,1,25,0,0,13,89.0,5,2,0,64,True,False,100.0,12
Bad,74,139,1,61,27,0,93,29.0,7,6,28,4,25,0,1,19,21.0,2,3,1,42,True,False,96.0,11
Bad,64,181,4,48,26,1,93,6.0,6,2,27,4,59,0,1,30,37.0,4,4,2,69,True,True,96.0,18
Bad,54,336,13,93,17,1,89,4.0,4,4,18,0,33,0,4,65,53.0,4,2,2,75,True,True,94.0,13
Good,79,196,3,50,13,0,100,122.0,7,7,13,3,46,0,0,48,,2,1,2,60,False,False,100.0,7
Good,82,247,1,90,25,0,100,122.0,7,7,29,2,24,35,0,29,,6,1,1,54,False,False,86.0,15
Good,70,298,5,71,24,0,96,81.0,7,6,47,6,13,0,2,29,,3,1,1,36,True,False,51.0,16
Good,64,60,11,26,6,0,86,11.0,6,5,7,1,43,0,0,95,,2,1,0,75,True,True,86.0,5
Bad,54,117,7,63,18,1,77,3.0,6,5,23,1,41,0,0,26,93.0,3,2,1,50,True,True,78.0,11
Good,67,74,2,35,12,0,92,10.0,6,6,13,3,31,35,7,23,,5,1,0,75,True,True,92.0,9
Good,61,150,9,36,5,0,83,11.0,6,6,6,2,33,0,0,69,74.0,3,2,1,100,True,True,83.0,6
Bad,79,340,4,80,52,0,96,10.0,6,6,77,2,13,6,0,2,,2,1,0,12,True,True,68.0,9
Bad,61,215,14,120,16,0,89,4.0,6,6,18,0,39,0,2,45,,5,1,2,67,True,True,89.0,12
Good,87,150,27,77,27,0,100,122.0,7,7,27,0,30,2,1,4,3.0,4,2,0,55,False,False,100.0,14
Good,75,234,0,73,34,0,97,30.0,7,5,45,6,11,0,2,11,88.0,6,2,1,33,True,False,76.0,14
Bad,64,192,1,76,22,0,96,16.0,7,6,25,2,32,0,0,67,64.0,6,4,4,77,True,False,88.0,19
Bad,65,208,3,56,14,1,88,57.0,2,5,43,4,13,35,4,14,,5,1,3,55,True,True,33.0,23
Bad,76,66,2,31,5,0,100,122.0,7,7,7,3,0,0,1,47,,3,2,2,100,False,False,71.0,7
Bad,79,157,1,51,20,0,100,122.0,7,7,38,4,14,1,1,11,,3,2,2,27,False,False,53.0,10
Bad,55,127,9,60,28,0,80,7.0,6,5,30,2,47,0,0,69,142.0,7,9,1,89,True,True,93.0,26
Good,79,181,7,104,20,0,95,27.0,7,6,20,2,55,35,0,27,49.0,5,3,0,100,True,False,100.0,20
Bad,55,101,4,29,12,0,92,2.0,6,6,13,3,38,0,0,43,83.0,5,3,2,100,True,True,92.0,13
Bad,80,180,23,118,15,0,100,122.0,7,7,27,0,7,10,0,42,,2,2,1,33,False,False,56.0,8
Good,72,413,10,70,31,0,97,54.0,7,6,31,2,74,0,1,25,,2,1,1,43,True,False,100.0,13
Good,68,265,4,93,31,1,91,6.0,6,6,34,1,62,0,0,0,69.0,1,9,0,85,True,True,91.0,28
Bad,60,343,5,58,5,1,67,1.0,6,5,10,2,17,6,0,5,93.0,4,1,0,83,True,True,50.0,8
Bad,69,163,7,69,28,0,100,122.0,7,7,29,3,41,1,3,52,79.0,8,3,2,75,False,False,97.0,21
Bad,72,252,1,47,14,0,94,39.0,7,6,16,6,31,0,2,49,71.0,3,3,0,78,True,False,88.0,12
Good,84,411,23,91,10,0,100,122.0,7,7,11,0,36,0,0,17,,2,2,0,100,False,False,91.0,11
Good,82,271,2,79,25,0,100,122.0,7,7,33,3,31,2,1,2,74.0,4,2,0,50,False,False,76.0,16
Bad,63,20,3,10,15,0,100,122.0,7,7,15,11,13,0,6,18,91.0,4,2,1,40,False,False,100.0,6
Bad,57,119,7,7,3,0,100,122.0,7,7,7,3,0,35,6,84,,3,2,1,100,False,False,43.0,7
Good,78,126,7,58,41,0,100,122.0,7,7,45,2,51,0,2,14,75.0,3,5,0,50,False,False,91.0,22
Good,91,455,10,202,11,0,100,122.0,7,7,11,1,18,35,1,5,,1,1,0,33,False,False,100.0,3
Good,71,207,14,147,26,0,89,8.0,6,6,28,0,36,35,0,1,,3,2,0,64,True,True,93.0,17
Good,70,132,2,64,20,1,92,6.0,6,6,26,4,4,0,1,1,,1,2,0,13,True,True,77.0,3
Bad,60,92,16,58,19,3,78,5.0,6,2,23,0,57,35,2,51,,2,1,0,60,True,True,83.0,13
Good,78,108,2,43,17,0,100,122.0,7,7,18,4,39,35,2,15,50.0,4,3,1,78,False,False,94.0,14
Good,84,199,14,114,22,0,100,122.0,7,7,22,0,36,7,0,11,33.0,6,2,0,57,False,False,100.0,12
Good,66,190,3,94,33,1,97,67.5,7,6,33,1,55,0,4,23,79.0,2,4,0,75,True,False,100.0,24
Good,86,249,5,87,30,0,100,122.0,7,7,32,1,25,3,5,6,95.0,1,1,0,67,False,False,94.0,21
Bad,65,216,6,80,19,0,70,7.0,6,5,20,1,30,0,0,21,,2,1,0,38,True,True,95.0,7
Bad,75,206,4,65,15,2,88,78.0,7,2,17,1,53,35,1,0,,0,1,0,33,True,False,88.0,5
Good,69,252,3,90,44,0,91,7.0,6,5,46,4,20,4,1,23,100.0,11,2,1,78,True,True,96.0,35
Bad,61,96,3,28,9,1,80,8.0,6,2,16,3,40,35,0,26,99.0,3,2,1,63,True,True,56.0,10
Good,80,93,2,34,13,0,100,122.0,7,7,15,3,40,7,0,6,84.0,3,3,0,67,False,False,87.0,10
Good,62,190,4,80,29,0,74,13.0,7,5,31,3,45,0,0,60,82.0,6,8,1,100,True,False,94.0,31
Good,60,143,1,78,34,0,86,24.0,7,5,37,1,30,0,0,75,,5,1,3,67,True,False,92.0,24
Bad,64,201,3,78,58,0,95,59.0,7,6,58,6,21,0,3,35,99.0,9,4,3,39,True,False,100.0,22
Bad,62,87,9,42,10,1,83,5.0,6,5,12,2,33,1,1,14,90.0,4,1,1,63,True,True,83.0,7
Bad,62,172,4,71,29,0,86,2.0,6,6,29,2,28,35,1,32,50.0,2,4,2,50,True,True,100.0,14
Bad,69,165,4,62,12,0,92,75.0,7,6,12,2,58,0,1,97,71.0,4,1,3,100,True,False,100.0,12
Bad,85,358,36,157,4,0,80,55.0,7,5,5,0,0,0,0,0,,0,2,0,0,True,False,80.0,0
Good,81,118,2,60,6,0,100,122.0,7,7,7,1,14,0,3,6,,2,2,1,50,False,False,86.0,3
Good,85,158,16,70,8,0,100,122.0,7,7,8,0,25,6,0,20,80.0,3,2,0,83,False,False,100.0,6
Good,86,191,7,82,27,0,100,122.0,7,7,28,1,22,7,0,0,,0,1,0,8,False,False,96.0,2
Good,76,185,4,69,32,0,97,25.0,7,6,34,3,13,35,1,16,54.0,4,3,0,41,True,False,94.0,13
Good,66,245,44,131,12,0,79,1.0,6,5,14,0,36,0,1,46,,3,1,0,100,True,True,86.0,14
Good,76,158,2,73,25,0,100,122.0,7,7,27,2,19,0,2,23,,6,3,1,64,False,False,93.0,17
Bad,76,136,1,57,20,0,100,122.0,7,7,21,2,33,0,0,44,,5,1,1,60,False,False,95.0,12
Bad,65,287,2,82,22,0,100,122.0,7,7,23,3,35,0,1,98,96.0,10,3,4,100,False,False,96.0,23
Bad,59,291,6,128,27,4,90,3.0,4,3,31,2,23,1,1,42,59.0,2,3,1,67,True,True,87.0,20
Bad,67,181,7,68,34,0,100,122.0,7,7,39,3,13,35,5,90,40.0,13,4,9,89,False,False,87.0,34
Good,76,280,12,77,25,0,100,122.0,7,7,25,0,40,0,0,17,42.0,2,4,1,50,False,False,100.0,12
Bad,72,79,2,26,13,0,100,122.0,7,7,15,2,27,0,1,28,65.0,6,3,1,69,False,False,87.0,10
Good,73,288,2,82,14,0,93,5.0,6,6,17,1,20,0,2,4,69.0,2,3,0,63,True,True,82.0,10
Bad,67,213,1,56,53,0,98,42.0,7,5,59,11,18,2,2,22,89.0,7,5,1,52,True,False,90.0,30
Good,59,184,1,86,21,2,91,0.0,2,6,24,2,55,0,5,0,20.0,0,5,1,60,True,True,88.0,14
Bad,70,346,3,94,38,1,85,23.0,7,6,40,2,26,0,1,36,18.0,9,2,1,69,True,False,95.0,27
Bad,80,61,8,37,8,0,100,122.0,7,7,8,1,13,1,2,0,,1,2,0,50,False,False,100.0,4
Bad,74,455,4,194,20,0,95,43.0,7,6,20,2,25,6,0,43,96.0,7,3,1,71,True,False,100.0,14
Bad,66,28,1,17,4,0,100,122.0,7,7,5,2,60,3,2,67,,2,1,0,100,False,False,80.0,5
Bad,60,247,2,73,31,0,97,72.0,7,6,45,2,50,35,2,83,72.0,12,4,6,94,True,False,69.0,42
Good,57,183,4,73,24,0,79,2.0,6,6,24,3,29,1,4,59,77.0,6,3,2,82,True,True,100.0,19
Bad,63,380,5,125,16,0,71,7.0,6,6,17,1,18,0,1,66,,4,1,3,50,True,True,94.0,8
Good,89,388,11,187,16,0,100,122.0,7,7,16,1,13,0,0,16,,4,2,0,45,False,False,100.0,7
Good,72,111,4,32,21,0,100,122.0,7,7,21,3,24,21,0,50,100.0,5,2,2,57,False,False,100.0,11
Good,62,262,2,93,36,0,100,122.0,7,7,37,1,35,19,0,92,56.0,13,5,8,100,False,False,97.0,37
Bad,81,112,2,55,17,0,100,122.0,7,7,19,1,47,0,1,24,,1,2,1,33,False,False,89.0,6
Bad,86,263,39,109,11,0,100,122.0,7,7,11,0,27,0,1,11,,2,1,0,50,False,False,100.0,5
Bad,74,197,5,90,30,0,97,67.5,7,6,31,2,16,0,0,25,,6,1,2,54,True,False,97.0,16
Bad,69,72,8,44,19,0,100,122.0,7,7,19,2,47,0,0,35,33.0,4,5,0,69,False,False,100.0,13
Good,90,246,5,81,9,0,100,122.0,7,7,9,1,11,13,0,10,,2,2,0,50,False,False,100.0,4
Good,81,246,12,86,21,0,100,122.0,7,7,22,0,55,0,0,0,89.0,0,6,0,43,False,False,95.0,9
Bad,77,73,3,41,22,0,100,122.0,7,7,22,2,27,0,1,0,94.0,1,3,0,29,False,False,100.0,6
Bad,82,115,4,45,16,0,100,122.0,7,7,16,3,63,0,0,0,92.0,1,3,0,50,False,False,100.0,8
Good,72,230,21,113,17,0,100,122.0,7,7,17,0,41,10,0,75,,7,1,2,89,False,False,100.0,15
Bad,74,197,1,93,31,0,86,29.0,7,5,35,3,26,0,2,28,27.0,2,4,0,40,True,False,89.0,14
Good,66,174,1,75,38,0,100,122.0,7,7,40,5,40,35,6,77,60.0,4,8,3,75,False,False,95.0,30
Good,71,269,4,93,26,0,96,9.0,6,6,31,3,23,3,1,46,,5,1,2,55,True,True,84.0,17
Good,70,335,3,105,35,2,87,34.0,7,4,39,5,33,0,2,27,6.0,10,3,1,88,True,False,90.0,34
Good,82,212,22,115,14,0,100,122.0,7,7,15,0,33,35,0,45,,4,2,0,75,False,False,93.0,11
Bad,88,199,9,83,17,0,100,122.0,7,7,17,1,24,35,0,0,70.0,0,2,0,50,False,False,100.0,8
Good,76,279,7,119,43,0,100,122.0,7,7,50,5,18,0,0,38,97.0,8,3,4,55,False,False,86.0,27
Bad,86,274,39,106,8,0,100,122.0,7,7,8,0,50,0,0,0,12.0,1,1,0,67,False,False,100.0,5
Good,78,177,1,65,26,0,96,67.5,7,6,28,3,46,35,1,4,72.0,4,5,0,64,True,False,93.0,17
Good,73,207,4,68,25,0,96,17.0,7,6,26,4,46,0,3,0,,2,1,0,43,True,False,96.0,11
Good,69,181,7,98,21,0,100,122.0,7,7,37,1,33,21,0,84,94.0,7,2,4,91,False,False,57.0,33
Good,91,310,9,145,16,0,100,122.0,7,7,19,1,53,14,0,5,,1,1,0,40,False,False,84.0,7
Bad,63,134,2,63,33,0,92,25.0,7,6,37,3,51,5,0,45,80.0,10,4,0,88,True,False,89.0,32
Good,77,256,3,93,37,0,92,19.0,7,6,39,4,23,3,1,13,,3,1,0,31,True,False,95.0,12
Bad,64,179,2,85,26,0,100,122.0,7,7,28,4,32,35,1,85,38.0,10,2,6,86,False,False,93.0,24
Good,84,169,21,57,15,0,100,122.0,7,7,15,0,33,0,1,11,,3,1,0,57,False,False,100.0,8
Bad,80,93,5,45,6,0,100,122.0,7,7,6,2,50,35,7,7,83.0,1,1,0,67,False,False,100.0,4
Bad,61,388,8,80,11,0,82,21.0,7,6,11,2,36,0,1,71,,4,1,3,63,True,False,100.0,6
Bad,80,250,5,92,40,0,100,122.0,7,7,42,3,17,0,2,19,,7,1,1,45,False,False,95.0,18
Good,83,166,2,65,18,0,95,57.0,7,6,19,3,32,35,1,12,64.0,2,3,0,63,True,False,95.0,11
Good,63,224,4,52,28,1,96,29.0,7,6,28,4,29,6,0,42,73.0,8,3,3,73,True,False,100.0,20
Bad,60,101,8,34,20,0,81,8.0,6,5,21,2,67,0,0,30,89.0,1,8,1,82,True,True,95.0,17
Good,86,141,2,64,14,0,100,122.0,7,7,18,3,72,2,3,0,90.0,0,3,0,60,False,False,78.0,10
Bad,52,181,4,42,22,2,92,38.0,7,5,26,2,24,35,4,75,74.0,13,1,6,82,True,False,85.0,21
Good,80,344,4,92,35,0,94,59.0,7,6,38,3,26,10,0,17,86.0,5,2,0,39,True,False,92.0,14
Good,68,217,11,109,24,0,88,18.0,7,6,24,1,17,0,4,61,,5,1,3,50,True,False,100.0,12
Bad,60,279,2,37,29,0,97,6.0,6,6,48,7,23,35,1,31,90.0,6,3,2,45,True,True,60.0,21
Good,67,212,13,112,24,0,88,2.0,6,6,25,0,48,35,1,21,71.0,6,4,1,100,True,True,96.0,25
Bad,70,23,1,12,2,0,100,122.0,7,7,3,1,67,35,1,0,97.0,0,2,1,67,False,False,67.0,2
Bad,54,68,7,23,5,0,83,3.0,6,6,6,3,33,0,0,66,81.0,3,2,1,83,True,True,83.0,4
Bad,74,202,23,68,27,0,93,7.0,6,6,27,0,30,0,0,16,48.0,3,3,0,46,True,True,100.0,12
Bad,55,154,7,68,19,0,84,3.0,6,6,22,2,21,3,1,62,,4,1,3,56,True,True,86.0,12
Bad,66,115,7,60,40,0,93,2.0,6,6,40,4,25,1,3,37,59.0,5,3,0,80,True,True,100.0,32
Good,62,275,1,87,27,0,90,30.0,7,6,30,4,33,1,3,57,54.0,7,5,3,76,True,False,90.0,22
Bad,59,170,5,66,25,0,69,2.0,6,6,26,1,15,4,2,39,,8,1,1,56,True,True,96.0,14
Bad,69,121,3,55,31,1,97,43.0,7,4,32,2,59,0,1,43,66.0,5,6,0,73,True,False,97.0,23
Good,89,222,12,136,20,0,100,122.0,7,7,22,0,36,20,0,0,,0,1,0,17,False,False,91.0,3
Bad,71,183,2,116,29,0,100,122.0,7,7,31,1,39,35,2,42,97.0,3,2,0,75,False,False,94.0,23
Good,74,206,9,66,16,0,100,122.0,7,7,37,1,25,35,2,52,56.0,6,2,1,73,False,False,43.0,27
Good,75,337,10,151,12,1,92,26.0,7,2,13,1,38,19,0,0,,0,2,0,0,True,False,92.0,0
Bad,66,288,10,77,27,0,96,26.0,7,6,44,1,44,12,0,72,86.0,7,2,3,100,True,False,61.0,44
Good,81,275,3,80,50,0,98,33.0,7,6,50,2,16,7,0,3,10.0,3,3,0,25,True,False,100.0,12
Bad,56,133,2,64,15,0,88,3.0,6,6,17,2,12,0,2,84,,10,1,4,92,True,True,88.0,15
Good,87,492,10,127,14,0,100,122.0,7,7,15,1,21,14,0,9,,5,1,0,60,False,False,93.0,9
Good,59,320,5,115,13,1,73,1.0,2,2,15,1,20,0,0,16,35.0,6,2,0,80,True,True,87.0,12
Good,86,255,15,140,27,0,100,122.0,7,7,28,0,25,3,1,1,62.0,2,2,0,38,False,False,96.0,10
Good,75,200,6,66,40,0,98,26.0,7,6,40,1,45,0,1,27,74.0,1,3,1,31,True,False,100.0,12
Bad,57,341,5,109,29,0,97,3.0,6,6,29,1,28,0,0,67,50.0,9,4,5,76,True,True,100.0,22
Bad,87,204,1,78,45,0,100,122.0,7,7,46,2,59,14,0,1,95.0,3,2,0,50,False,False,98.0,23
Good,80,266,7,98,15,0,100,122.0,7,7,17,1,35,2,1,46,,1,1,1,40,False,False,88.0,6
Bad,81,74,2,47,24,0,100,122.0,7,7,26,1,12,35,2,8,,2,1,0,38,False,False,92.0,9
Good,85,193,8,90,19,0,100,122.0,7,7,19,3,16,0,2,18,,2,1,0,60,False,False,100.0,11
Bad,78,212,36,96,11,0,100,122.0,7,7,13,0,15,4,1,50,,4,1,2,71,False,False,85.0,9
Bad,62,163,11,53,22,0,87,23.0,7,6,23,1,39,0,0,68,92.0,6,2,3,89,True,False,96.0,20
Bad,69,178,22,74,25,0,92,12.0,7,6,25,0,40,0,5,20,45.0,5,2,0,70,True,False,100.0,17
Bad,59,279,4,70,7,0,63,7.0,6,6,8,2,25,1,1,72,40.0,4,2,1,86,True,True,88.0,6
Good,67,136,2,73,15,1,89,33.0,7,6,30,2,56,0,0,61,100.0,3,2,0,100,True,False,50.0,30
Bad,69,196,3,55,8,0,73,7.0,6,5,28,2,45,0,1,27,47.0,2,2,0,67,True,True,29.0,18
Good,88,166,17,84,12,0,100,122.0,7,7,12,0,17,13,0,0,,0,1,0,25,False,False,100.0,3
Good,90,320,8,85,8,0,100,122.0,7,7,8,1,25,12,0,2,,2,2,1,67,False,False,100.0,5
Good,71,193,37,105,9,0,78,11.0,6,6,9,0,44,0,0,39,12.0,2,2,0,67,True,True,100.0,6
Bad,63,153,6,68,37,1,91,25.0,7,6,45,1,89,0,0,82,74.0,3,5,0,100,True,False,82.0,45
Good,70,118,7,45,17,0,88,11.0,6,6,17,4,35,0,0,15,,1,1,0,29,True,True,100.0,4
Good,69,276,3,118,33,0,97,41.0,7,6,35,1,17,3,2,69,100.0,9,2,6,67,True,False,94.0,23
Good,81,190,6,84,21,0,100,122.0,7,7,21,2,29,7,0,8,91.0,5,2,0,88,False,False,100.0,18
Bad,61,119,7,41,17,3,94,13.0,7,6,19,2,17,0,1,34,58.0,5,3,2,67,True,False,89.0,12
Bad,86,206,26,89,15,0,100,122.0,7,7,17,0,47,35,0,5,,2,1,0,50,False,False,88.0,8
Good,75,254,4,60,9,0,100,122.0,7,7,9,2,44,0,1,60,95.0,2,2,0,80,False,False,100.0,7
Good,75,187,7,95,22,0,100,122.0,7,7,24,2,50,0,0,46,54.0,3,3,1,67,False,False,92.0,16
Bad,73,217,22,87,34,0,100,122.0,7,7,36,0,17,0,1,91,,7,2,3,100,False,False,94.0,36
Good,72,214,17,61,21,0,100,122.0,7,7,21,0,33,0,0,66,66.0,7,2,2,64,False,False,100.0,13
Good,64,173,1,69,43,0,93,3.0,6,6,55,4,20,0,2,11,100.0,4,2,0,35,True,True,78.0,19
Good,83,294,2,106,22,1,92,43.0,7,4,47,3,16,2,1,0,35.0,2,2,0,44,True,False,47.0,20
Good,85,192,2,86,25,0,100,122.0,7,7,29,2,41,35,1,28,68.0,2,3,0,63,False,False,86.0,18
Bad,78,266,13,95,16,0,100,122.0,7,7,16,0,56,0,2,51,90.0,4,2,1,100,False,False,100.0,16
Good,77,180,35,92,16,0,94,37.0,7,6,25,0,56,0,0,32,50.0,2,2,1,67,True,False,64.0,16
Bad,57,180,9,98,19,3,74,4.0,2,6,21,1,21,0,1,21,95.0,9,1,0,71,True,True,90.0,14
Good,79,169,6,70,44,0,100,122.0,7,7,44,4,23,0,0,9,93.0,3,2,0,42,False,False,100.0,18
Good,70,272,1,77,28,0,100,122.0,7,7,29,5,28,0,3,63,90.0,1,2,1,31,False,False,97.0,8
Bad,60,59,3,31,14,0,93,67.5,7,6,14,4,36,0,4,57,48.0,8,4,1,100,True,False,100.0,14
Bad,62,83,1,38,13,1,93,36.0,2,5,15,4,60,7,0,3,74.0,1,4,0,63,True,True,87.0,9
Good,78,233,9,103,42,0,100,122.0,7,7,42,2,38,0,0,20,85.0,5,4,0,56,False,False,100.0,23
